#collected from http://www.nrc.gov/reading-rm/doc-collections/event-status/reactor-status/PowerReactorStatusForLast365Days.txt on 8/30/2014
ReportDt|Unit|Power
08/22/2014|La Salle 1|100
08/22/2014|La Salle 2|100
08/22/2014|Limerick 1|100
08/22/2014|Limerick 2|100
08/22/2014|McGuire 1|100
08/22/2014|McGuire 2|100
08/22/2014|Millstone 2|100
08/22/2014|Millstone 3|100
08/22/2014|Monticello|88
08/22/2014|Nine Mile Point 1|100
08/22/2014|Nine Mile Point 2|100
08/22/2014|North Anna 1|100
08/22/2014|North Anna 2|100
08/22/2014|Oconee 1|100
08/22/2014|Oconee 2|100
08/22/2014|Oconee 3|100
08/22/2014|Oyster Creek|100
08/22/2014|Palisades|100
08/22/2014|Palo Verde 1|100
08/22/2014|Palo Verde 2|95
08/22/2014|Palo Verde 3|100
08/22/2014|Peach Bottom 2|100
08/22/2014|Peach Bottom 3|100
08/22/2014|Perry 1|100
08/22/2014|Pilgrim 1|42
08/22/2014|Point Beach 1|100
08/22/2014|Point Beach 2|100
08/22/2014|Prairie Island 1|100
08/22/2014|Prairie Island 2|100
08/22/2014|Quad Cities 1|100
08/22/2014|Quad Cities 2|100
08/22/2014|River Bend 1|100
08/22/2014|Robinson 2|100
08/22/2014|Saint Lucie 1|100
08/22/2014|Saint Lucie 2|100
08/22/2014|Salem 1|100
08/22/2014|Salem 2|100
08/22/2014|Seabrook 1|100
08/22/2014|Sequoyah 1|100
08/22/2014|Sequoyah 2|100
08/22/2014|South Texas 1|100
08/22/2014|South Texas 2|100
08/22/2014|Summer|100
08/22/2014|Surry 1|100
08/22/2014|Surry 2|100
08/22/2014|Susquehanna 1|100
08/22/2014|Susquehanna 2|100
08/22/2014|Three Mile Island 1|100
08/22/2014|Turkey Point 3|71
